0	0	26
0	1	148
0	2	140
0	3	523
0	4	2276
0	5	241
0	6	323
0	7	65
0	8	137
0	9	384
0	10	225
0	11	565
0	12	71
0	13	470
0	14	181
0	15	26

1	0	253
1	1	511
1	2	93
1	3	270
1	4	117
1	5	1073
1	6	1232
1	7	194
1	8	858
1	9	531
1	10	125
1	11	1117
1	12	221
1	13	35
1	14	180
1	15	242

2	0	424
2	1	245
2	2	245
2	3	74
2	4	55
2	5	77
2	6	124
2	7	96
2	8	104
2	9	119
2	10	124
2	11	183
2	12	53
2	13	33
2	14	37
2	15	82

3	0	37
3	1	150
3	2	240
3	3	220
3	4	168
3	5	914
3	6	623
3	7	116
3	8	459
3	9	548
3	10	1019
3	11	558
3	12	295
3	13	202
3	14	125
3	15	46

4	0	24
4	1	111
4	2	70
4	3	65
4	4	1982
4	5	1138
4	6	425
4	7	462
4	8	565
4	9	856
4	10	281
4	11	163
4	12	1557
4	13	436
4	14	2047
4	15	144

5	0	58
5	1	331
5	2	62
5	3	88
5	4	318
5	5	245
5	6	1097
5	7	249
5	8	494
5	9	485
5	10	141
5	11	142
5	12	263
5	13	211
5	14	166
5	15	78

6	0	154
6	1	400
6	2	99
6	3	219
6	4	853
6	5	912
6	6	956
6	7	524
6	8	175
6	9	1123
6	10	205
6	11	65
6	12	107
6	13	78
6	14	601
6	15	105

7	0	1055
7	1	99
7	2	63
7	3	249
7	4	1285
7	5	421
7	6	472
7	7	142
7	8	463
7	9	532
7	10	153
7	11	82
7	12	58
7	13	57
7	14	60
7	15	29

8	0	1713
8	1	402
8	2	83
8	3	71
8	4	118
8	5	125
8	6	162
8	7	248
8	8	1232
8	9	208
8	10	519
8	11	150
8	12	198
8	13	283
8	14	161
8	15	446

9	0	252
9	1	644
9	2	300
9	3	271
9	4	461
9	5	136
9	6	392
9	7	113
9	8	402
9	9	206
9	10	232
9	11	1032
9	12	140
9	13	468
9	14	237
9	15	654

10	0	634
10	1	301
10	2	129
10	3	165
10	4	216
10	5	68
10	6	323
10	7	799
10	8	198
10	9	303
10	10	905
10	11	852
10	12	166
10	13	177
10	14	1149
10	15	460

11	0	103
11	1	985
11	2	679
11	3	175
11	4	230
11	5	735
11	6	349
11	7	920
11	8	618
11	9	666
11	10	485
11	11	519
11	12	469
11	13	62
11	14	382
11	15	376

12	0	79
12	1	217
12	2	451
12	3	387
12	4	91
12	5	128
12	6	165
12	7	3010
12	8	1089
12	9	783
12	10	484
12	11	295
12	12	180
12	13	44
12	14	178
12	15	51

13	0	590
13	1	416
13	2	83
13	3	713
13	4	217
13	5	214
13	6	633
13	7	413
13	8	294
13	9	648
13	10	98
13	11	174
13	12	108
13	13	39
13	14	32
13	15	67

14	0	220
14	1	147
14	2	44
14	3	249
14	4	283
14	5	104
14	6	124
14	7	132
14	8	181
14	9	80
14	10	40
14	11	38
14	12	101
14	13	138
14	14	205
14	15	157

15	0	17
15	1	250
15	2	21
15	3	37
15	4	46
15	5	261
15	6	102
15	7	460
15	8	236
15	9	48
15	10	18
15	11	16
15	12	22
15	13	35
15	14	396
15	15	17

